==== run 0: offset=0x2240  entries=139 ====
  [   0] tgt=0201(CNA  ) reg=1004 val=0000000e
  [   1] tgt=0801(CORE ) reg=3004 val=0000000e
  [   2] tgt=0201(CNA  ) reg=1038 val=00000007
  [   3] tgt=1001(DPU  ) reg=4004 val=0000000e
  [   4] tgt=2001(RDMA ) reg=5004 val=0000000e
  [   5] tgt=0201(CNA  ) reg=100c val=2000a006
  [   6] tgt=0201(CNA  ) reg=1010 val=00000fff
  [   7] tgt=0201(CNA  ) reg=1014 val=00000012
  [   8] tgt=0201(CNA  ) reg=1018 val=40000404
  [   9] tgt=0201(CNA  ) reg=101c val=00000600
  [  10] tgt=0201(CNA  ) reg=1020 val=00000030
  [  11] tgt=0201(CNA  ) reg=1024 val=0202001f
  [  12] tgt=0201(CNA  ) reg=1028 val=0d20000b
  [  13] tgt=0201(CNA  ) reg=102c val=00df00df
  [  14] tgt=0201(CNA  ) reg=1030 val=0060006f
  [  15] tgt=0201(CNA  ) reg=1034 val=000030ff
  [  16] tgt=0201(CNA  ) reg=1038 val=00000007
  [  17] tgt=0201(CNA  ) reg=103c val=000f0000
  [  18] tgt=0201(CNA  ) reg=1040 val=10000000
  [  19] tgt=0201(CNA  ) reg=1044 val=00e0000f
  [  20] tgt=0201(CNA  ) reg=1048 val=000e38e0
  [  21] tgt=0201(CNA  ) reg=104c val=40004000
  [  22] tgt=0201(CNA  ) reg=1050 val=00014000
  [  23] tgt=0201(CNA  ) reg=1054 val=ffffff80
  [  24] tgt=0201(CNA  ) reg=1058 val=ffffff80
  [  25] tgt=0201(CNA  ) reg=105c val=ffffff80
  [  26] tgt=0201(CNA  ) reg=1060 val=00000000
  [  27] tgt=0201(CNA  ) reg=1064 val=00000000
  [  28] tgt=0201(CNA  ) reg=1068 val=00000000
  [  29] tgt=0201(CNA  ) reg=106c val=00000000
  [  30] tgt=0201(CNA  ) reg=1070 val=00000000
  [  31] tgt=0201(CNA  ) reg=1074 val=00000000
